metric_id,metric_name,business_definition,numerator,denominator,aggregation_logic,source_table,required_columns,supported_dimensions,mapping_status,original_metric_id,notes,generated_at
M03,Active Company Count,Number of distinct companies with active status.,COUNT(DISTINCT company_ID) WHERE company_status_simple = 'active',null,COUNT(DISTINCT company_ID) FROM mt_safe_company WHERE company_status_simple = 'ACTIVE',mt_safe_company,"company_ID, company_status_simple","federalState, subTypeId (join mt_safe_company_type for type_name)",mapped,M_003,null,2026-07-21T11:09:08.238224
M01,Certificate Volume,Total number of certificates earned in a given period (mandatory + elective).,COUNT(*) FROM mt_safe_certificate,null,"COUNT(*) GROUP BY time period, certificate_type",mt_safe_certificate,"completedOn, certificate_type","year/month (from completedOn), certificate_type (Pflicht/Wahl), courseId",mapped,M_001,"IMPORTANT: mt_safe_certificate has ONLY Wahlzertifikat. For Pflichtzertifikat, use mt_safe_user WHERE certificate_type IS NOT NULL. For all cert types, use mt_safe_user.",2026-07-21T11:09:08.238224
M02,On-Time Completion Rate,Percentage of course assignments completed on or before the deadline.,COUNT(*) WHERE completedOn <= deadline_assignment (requires join),COUNT(*) WHERE completedOn IS NOT NULL AND deadline_assignment IS NOT NULL,"Join mt_safe_certificate ON assignmentId = mt_safe_assignment.assignment_ID, then compare completedOn vs deadline_assignment",mt_safe_certificate JOIN mt_safe_assignment,"mt_safe_certificate.completedOn, mt_safe_certificate.assignmentId, mt_safe_assignment.deadline_assignment, mt_safe_assignment.assignment_ID","company (via mt_safe_assignment.company_ID1), course_type",mapped,M_002,Deadline compliance: On Time = completedOn <= deadline. Late = completedOn > deadline. Not Completed = completedOn IS NULL and deadline IS NOT NULL.,2026-07-21T11:09:08.238224
M05,Exam Pass Rate,Percentage of attempted exams that were passed.,COUNT(*) WHERE hasPassed = true,COUNT(*) total exam attempts,COUNT(CASE WHEN hasPassed THEN 1 END) / COUNT(*) FROM mt_safe_exam_result,mt_safe_exam_result,"hasPassed, exam_userId, examId","exam_userId, exam_date (year/month)",mapped,M_006,"For company-level pass rate, join exam_result → assignment_course_progress → assignment → company.",2026-07-21T11:09:08.238224
M06,Average Exam Score,Average exam result percentage across attempts.,SUM(resultPercentage),COUNT(*) exam attempts with non-null resultPercentage,AVG(resultPercentage) FROM mt_safe_exam_result,mt_safe_exam_result,resultPercentage,"exam_date, hasPassed",mapped,null,New metric derived from available data. Not in original gold metrics.,2026-07-21T11:09:08.238224
M07,Opportunity Win Rate,Percentage of closed opportunities that were won.,COUNT(*) WHERE is_won = true,COUNT(*) WHERE is_closed = true,COUNT(CASE WHEN is_won THEN 1 END) / COUNT(CASE WHEN is_closed THEN 1 END) FROM mt_safe_opportunity,mt_safe_opportunity,"is_won, is_closed","stage_name, opportunity_type, fiscal_year, fiscal_quarter, platform, vertical",mapped,null,New metric from Salesforce opportunity data.,2026-07-21T11:09:08.238224
M08,Average Deal Size,Average opportunity amount for closed-won deals.,SUM(amount) WHERE is_won = true,COUNT(*) WHERE is_won = true,AVG(amount) FROM mt_safe_opportunity WHERE is_won = true,mt_safe_opportunity,"amount, is_won","opportunity_type, platform, vertical, fiscal_year",mapped,null,New metric from opportunity data.,2026-07-21T11:09:08.238224
M09,Contract License Utilization,Ratio of actual users to licensed user slots per company.,COUNT(DISTINCT user_id) per company (from mt_safe_assignment_course_progress joined to mt_safe_assignment for company_ID1),noOfLicenses from mt_safe_company_contracts,Requires joining user counts per company with contract license counts,mt_safe_company_contracts JOIN mt_safe_assignment,"noOfLicenses, companyId, company_ID1, user_id","companyId, status",mapped,null,New metric. Proxy: count distinct users per company / noOfLicenses.,2026-07-21T11:09:08.238224
M_004_excluded,Platform Monthly Revenue,Total invoice revenue per month.,SUM(total_invoice_amount),null,N/A - requires invoice data not available in mt_safe_ tables,NOT AVAILABLE,"invoice_amount, invoice_date",null,excluded,M_004,"No invoice/billing table in mt_safe_ schema. Original source: monthly_business_metrics, invoice_aggregation.",2026-07-21T11:09:08.238224
M_009_excluded,Customer Lifetime Value (CLV) Proxy,Estimated total revenue from a customer company over tenure.,total_invoice_amount from company_invoice_clt,null,N/A - requires invoice data not available in mt_safe_ tables,NOT AVAILABLE,"total_invoice_amount, customer_lifetime_months",null,excluded,M_009,No invoice/CLT data in mt_safe_ schema.,2026-07-21T11:09:08.238224
M04,Company Course Completion Rate,Ratio of completed course assignments to total assignments for a company.,COUNT(*) WHERE user_course_state = 'COMPLETED' (uppercase),COUNT(*) total records per company (join to mt_safe_assignment for company_ID1),Join mt_safe_assignment_course_progress with mt_safe_assignment on assignment_id1. COUNT WHERE user_course_state = 'COMPLETED' / total per company.,mt_safe_assignment_course_progress JOIN mt_safe_assignment,"user_course_state, assignment_id1, company_ID1","company (company_ID1), course_type",mapped,M_005,"user_course_state values are uppercase: COMPLETED, NOTSTARTED, INPROGRESS, FINISHEDWATCHING",2026-07-21T11:09:08.238224
