rule_id,rule_name,rule_category,description,rule_logic,applies_to_tables,applies_to_columns,mapping_status,original_rule_id,generated_at
BR01,Mandatory Certificate Type: Pflichtzertifikat,filter,"Mandatory certificates have certificate_type = 'Pflichtzertifikat'. Note: this value exists only in mt_safe_user, NOT in mt_safe_certificate.",WHERE certificate_type = 'Pflichtzertifikat',mt_safe_user,certificate_type,mapped,BR_004,2026-07-21T11:38:08.483556
BR02,Elective Certificate Type: Wahlzertifikat,filter,Elective certificates have certificate_type = 'Wahlzertifikat'. Available in both mt_safe_user and mt_safe_certificate.,WHERE certificate_type = 'Wahlzertifikat',"mt_safe_user, mt_safe_certificate",certificate_type,mapped,BR_005,2026-07-21T11:38:08.483556
BR03,Mandatory Course Type: Pflichtkurs,filter,Mandatory courses have course_type = 'Pflichtkurs'.,WHERE course_type = 'Pflichtkurs',"mt_safe_user, mt_safe_assignment_course_progress",course_type,mapped,BR_002,2026-07-21T11:38:08.483556
BR04,Elective Course Type: Wahlkurs,filter,Elective courses have course_type = 'Wahlkurs'.,WHERE course_type = 'Wahlkurs',"mt_safe_user, mt_safe_assignment_course_progress",course_type,mapped,BR_003,2026-07-21T11:38:08.483556
BR05,Active Company Filter,filter,"Active companies: company_status_simple = 'ACTIVE' (uppercase). Values are: ACTIVE, INACTIVE, TRIAL.",WHERE company_status_simple = 'ACTIVE',mt_safe_company,company_status_simple,mapped,BR_008,2026-07-21T11:38:08.483556
BR06,Course Completion State: COMPLETED,filter,"Completed assignments: user_course_state = 'COMPLETED' (uppercase). Values are: COMPLETED, NOTSTARTED, INPROGRESS, FINISHEDWATCHING.",WHERE user_course_state = 'COMPLETED',"mt_safe_assignment_course_progress, mt_safe_user",user_course_state,mapped,null,2026-07-21T11:38:08.483556
BR07,Deadline Compliance Classification,calculation,"Classify assignments as On Time, Late, Not Completed by comparing completedOn vs deadline_assignment.",CASE WHEN completedOn IS NOT NULL AND deadline_assignment IS NOT NULL AND completedOn <= deadline_assignment THEN 'On Time' WHEN completedOn IS NOT NULL AND deadline_assignment IS NOT NULL AND completedOn > deadline_assignment THEN 'Late' WHEN completedOn IS NULL AND deadline_assignment IS NOT NULL THEN 'Not Completed' ELSE 'No Deadline' END,mt_safe_certificate JOIN mt_safe_assignment (via assignmentId = assignment_ID),"completedOn, deadline_assignment",mapped,BR_011,2026-07-21T11:38:08.483556
BR08,Days from Deadline Calculation,calculation,"Days between completion and deadline. Negative = early, positive = late.","DATEDIFF(CAST(completedOn AS DATE), CAST(deadline_assignment AS DATE))",mt_safe_certificate JOIN mt_safe_assignment,"completedOn, deadline_assignment",mapped,BR_012,2026-07-21T11:38:08.483556
BR09,Duplicate Certificate Detection,data_quality,mt_safe_user has is_certificate_a_duplicate and Nr_Certificates_for_the_same_year for duplicate cert detection.,WHERE Nr_Certificates_for_the_same_year > 1 (or is_certificate_a_duplicate for flag),mt_safe_user,"is_certificate_a_duplicate, Nr_Certificates_for_the_same_year",mapped,null,2026-07-21T11:38:08.483556
BR10,Opportunity Closed-Won Filter,filter,Closed-won opportunities: is_closed = true AND is_won = true.,WHERE is_closed = true AND is_won = true,mt_safe_opportunity,"is_closed, is_won",mapped,null,2026-07-21T11:38:08.483556
BR11,Certificate Table Data Limitation,data_quality,"IMPORTANT: mt_safe_certificate contains ONLY Wahlzertifikat (elective) certificates. For mandatory certificates (Pflichtzertifikat), use mt_safe_user WHERE certificate_type = 'Pflichtzertifikat'. For all certificate types combined, use mt_safe_user.",For mandatory certs: use mt_safe_user WHERE certificate_type = 'Pflichtzertifikat'. For elective certs: use mt_safe_certificate OR mt_safe_user WHERE certificate_type = 'Wahlzertifikat'.,"mt_safe_certificate, mt_safe_user",certificate_type,mapped,null,2026-07-21T11:38:08.483556
BR_001_excluded,Exclude Test Companies,exclusion,Original rule excludes specific company IDs. Cannot apply — IDs are pseudonymized.,NOT APPLICABLE - IDs are pseudonymized,mt_safe_company,company_ID,excluded,BR_001,2026-07-21T11:38:08.483556
BR_006_excluded,Learner Role Filter,filter,No user_role column exists in mt_safe_ tables.,NOT APPLICABLE - no user_role column,NOT AVAILABLE,user_role,excluded,BR_006,2026-07-21T11:38:08.483556
BR_007_excluded,Active User Filter (user_deleted),filter,No user_deleted column in mt_safe_ tables.,NOT APPLICABLE - no user_deleted column,NOT AVAILABLE,user_deleted,excluded,BR_007,2026-07-21T11:38:08.483556
