table_name,business_name,business_description,grain,business_key,business_domain,primary_use_cases,generated_at
mt_safe_user,User Course Fact Table,Denormalized fact table joining user × course × certificate × exam data. One row per user-course-certificate-exam combination. Already deduplicated in the Silver view. Equivalent to gold final_view_distinct with exam data attached.,One row per user × course × certificate (with exam if applicable),"(user_id, course_id)",Learning & Development,"Certificate counts, completion analysis, exam pass rates, course type breakdowns, time-based aggregations",2026-07-21T11:09:08.238224
mt_safe_company,Company Dimension,"Company master data with status, geography, and subscription info. One row per company. Use company_status_simple for active/trial/inactive filtering.",One row per company (company_ID),company_ID,Customer Management,"Company segmentation, status filtering, trial-to-subscription analysis, geographic distribution",2026-07-21T11:09:08.238224
mt_safe_assignment_course_progress,Assignment Course Progress,"Maps users to course assignments with completion state. Lean table: user_id, course_id, assignment_id, state, type. Use for counting assignments by state and type.",One row per user × assignment × course,"(user_id, assignment_id1, course_id)",Learning & Development,"Assignment completion tracking, course type counts, user workload analysis",2026-07-21T11:09:08.238224
mt_safe_course,Course Dimension,"Course catalog with metadata: name, duration, description, status, and accreditation flags (CME, CNE, RBP).",One row per course (course_id1),course_id1,Content Management,"Course lookup, duration analysis, accreditation filtering, content status tracking",2026-07-21T11:09:08.238224
mt_safe_company_contracts,Company Contracts,"Contract records per company: start/expiry dates, license counts, cancellation status. Use for subscription analysis.",One row per contract (id),id,Customer Management,"Contract duration, license utilization, cancellation tracking, subscription lifecycle",2026-07-21T11:09:08.238224
mt_safe_company_type,Company Type Dimension,"Lookup table for company sub-types (e.g., hospital, nursing home, ambulatory). Join to mt_safe_company.subTypeId.",One row per type (type_id),type_id,Customer Management,Company segmentation by industry vertical,2026-07-21T11:09:08.238224
mt_safe_certificate,Certificate Events,"Individual certificate completion events: one row per certificate earned by a user for a course. Contains certificate type (Pflicht=mandatory, Wahl=elective).",One row per certificate (id),id,Learning & Development,"Certificate volume counts, completion date analysis, mandatory vs elective breakdown",2026-07-21T11:09:08.238224
mt_safe_exam_result,Exam Results,"Individual exam attempt results. Contains score (resultPercentage), pass/fail (hasPassed), answer counts, and exam date.",One row per exam attempt (examId × exam_userId),"(examId, exam_userId)",Learning & Development,"Pass rate analysis, score distributions, exam difficulty assessment",2026-07-21T11:09:08.238224
mt_safe_assignment,Assignment Dimension,"Assignment definitions per company: topic, deadline, recurrence settings. Each assignment belongs to one company.",One row per assignment (assignment_ID),assignment_ID,Learning & Development,"Deadline compliance, assignment structure, recurrence analysis",2026-07-21T11:09:08.238224
mt_safe_opportunity,Sales Opportunities,"Salesforce opportunity records: deal pipeline with amounts, stages, win/loss, and fiscal period info. Use for revenue and sales analysis.",One row per opportunity (opportunity_id),opportunity_id,Sales & Revenue,"Pipeline analysis, win rate, revenue forecasting, sales cycle tracking",2026-07-21T11:09:08.238224
